,latitude,longitude
233339,55.62700699999999,12.615039999999999
197738,55.75694,12.4170475
202197,55.434616000000005,10.382822
97537,56.870552,9.913871
265272,55.24601,10.466332000000001
101850,55.217148,11.755903
467978,54.889126,12.021772
181979,55.652992000000005,12.613528
404215,55.41138,11.683593
76456,55.425945,9.831013
21308,55.626453000000005,8.2808
175526,56.145382,10.1997
322897,55.733585,9.530819000000001
303681,55.255764,9.504076
463533,55.65015,12.555197999999999
238637,55.361731999999996,10.673304
61311,55.325084999999994,9.948728
261014,55.66733000000001,12.509849
129065,55.67163000000001,12.00538
434052,56.10953000000001,10.099253
26135,55.188835,14.703895999999999
354327,55.399269999999994,11.618816
19949,55.82330699999999,12.383453
154232,55.666126,12.5946455
339086,56.166737,10.163889
426417,54.96386999999999,8.700824
375245,55.847156999999996,9.821164999999999
229654,56.36015,10.587802
422075,55.41849499999999,10.268457000000001
102306,54.8674,10.788786
189010,56.156464,10.191863
128173,55.943583999999994,12.260378
353705,56.23069399999999,10.306888
331873,55.624359999999996,8.601705
8683,54.773518,11.507416000000001
374597,57.344283999999995,10.240827000000001
433983,56.196476000000004,9.409757
137277,57.159092,10.249089999999999
167313,56.27353000000001,9.828669999999999
203168,55.89945600000001,12.486158
195494,56.134032999999995,8.961249
250622,55.545826,12.236238
202288,55.376514,10.411242
464345,56.15262,10.207046
192329,55.556183,10.082292
191164,56.022213,12.58905
413583,56.16329,10.202274000000001
331291,56.02561600000001,8.380302
225684,55.743556999999996,12.475365
1418,56.103519999999996,12.362737
234582,55.302116000000005,10.296033999999999
359333,55.636826,12.479367
486360,54.914134999999995,11.217627
283192,55.776607999999996,12.093612
280839,55.894955,8.441184
164369,55.54492,11.161366000000001
286208,54.843093999999994,11.141377
483038,55.61733,12.571232
337754,55.79405,9.811703999999999
141636,55.712596999999995,11.658095
261762,55.938495999999994,11.604347
255647,55.706695999999994,12.536077
199227,55.517242,8.376947
39875,55.7257,9.100057000000001
138371,55.669514,9.6785145
318625,56.008266000000006,12.052764999999999
410033,54.7094,11.469682
290384,55.40685,10.404943
492130,55.51821999999999,9.026183
315768,55.68424,12.501361
152008,56.372437,9.644197
407384,57.043552000000005,8.501019
452951,57.35405,9.940377999999999
395013,56.150677,9.489502
429330,56.47648,10.024644
53273,57.00895,9.978639999999999
358024,56.152347999999996,10.159467
40672,55.262159999999994,9.274958
455130,55.097469999999994,14.700060999999998
293154,55.679545999999995,9.549258
136059,55.644259999999996,12.29124
374628,55.68479,12.585177999999999
194181,55.90500600000001,8.160644
136588,55.701702000000004,12.578992
264642,55.44696,11.879837
442285,56.204406999999996,10.211362
216722,55.655409999999996,12.536416000000001
367201,55.868140000000004,12.326344
420121,56.968063,8.632639999999999
497872,55.615967000000005,11.763345
187658,55.877403,12.509317
78927,55.309673,10.768122
84880,55.775513000000004,11.80722
323136,55.622875,12.62242
231494,56.10280600000001,12.192516
397784,55.637240000000006,8.490086999999999
358231,56.43196,9.854992999999999
487418,55.06985,10.211692
402786,55.37019,10.349233
396234,57.718212,10.579958999999999
55071,55.64026,12.099584
320532,55.719319999999996,11.466663
340813,55.66145699999999,12.455515
415180,56.195675,9.615734
157860,56.069065,10.171612
236783,57.57756,9.962551
296251,57.222504,9.665605000000001
461023,55.77007,12.172439
420486,55.615047,12.384481
181245,55.74654,12.317328999999999
270042,56.75095,8.41231
194533,56.0108,11.960266
82140,57.134735,9.131404
9705,55.489452,12.068934
303535,55.933859999999996,11.649716999999999
300460,55.850243000000006,11.990480999999999
334502,54.98469,12.283439
139431,56.12814300000001,12.286567
493982,57.58655,10.414999
348289,56.48715,10.013433000000001
220602,55.700340000000004,12.593235
95100,56.944027,9.282117999999999
256604,56.166603,9.545441
313336,55.694275,12.550229
